"id","name","winepoints_signalled","packaging_signalled","vintage_signalled","bottlesize_signalled","origin_signalled","fill_level_signalled","state_signalled","min_price_signalled","max_price_signalled","sold","price","minimum_price","maximum_price"
26413,"Domaine Bois de Boursan Chateauneuf-du-Pape Les Baud 2003 0,75 l",1,NULL,1,1,1,1,1,1,1,NULL,"0","150","300"
26414,"Chateau Trotanoy 2013 0,75 l",1,1,1,1,1,1,1,1,1,1,"490","420","840"
26415,"Prager Grüner Veltliner Selection trocken 1997 0,75 l(4)",NULL,NULL,1,1,1,1,1,1,1,1,"90","90","180"
26416,"Heymann Löwenstein Riesling ""Schieferterassen"" Trockenbeerenauslese 2005 0,375 l",1,NULL,1,1,1,1,1,1,1,NULL,"0","90","180"
26417,"Chateau Prieure-Lichine 1993 0,75 l",NULL,NULL,1,1,1,1,1,1,1,1,"105","105","210"
26418,"Domaine Robert Groffier Chambertin Clos de Beze Grand Cru 2004 0,75 l",NULL,NULL,1,1,1,1,1,1,1,NULL,"0","280","560"
26419,"Duc de Maravat Armagnac 1945 0,7 l",NULL,1,1,1,1,1,1,1,1,1,"200","200","400"
26420,"Levi, Serafino Grappa - braun ""Blumen in Bergen"" ""rote Sterne"" % 50 % Vol. NV 0,7 l",NULL,NULL,NULL,1,1,1,1,1,1,1,"80","80","160"
26421,"Sandrone, Luciano Barolo Cannubi Boschis 1990 0,75 l",1,NULL,1,1,1,1,1,1,1,1,"270","270","540"
26422,"Chateau de Fieuzal Chateau de Fieuzal rouge 1981 0,75 l",NULL,1,1,1,1,1,1,1,1,NULL,"0","180","300"
26423,"Heymann Löwenstein Winninger Uhlen Roth Lay Riesling Erste Lage 2002 0,75 l(1)",NULL,NULL,1,1,1,1,1,1,1,NULL,"0","100","200"
26424,"Chateau de Haute Serre Chateau de Haute Serre Cuvee Prestige Geron Dadine 2014 0,75 l",NULL,1,1,1,1,1,1,1,1,NULL,"0","80","160"
26425,"Chabasse Cognac Chabasse XO Imperial NV  0,7 l",NULL,1,NULL,1,1,1,1,1,1,NULL,"0","200","400"
26426,"Chateau Talbot 1982 0,75 l",1,NULL,1,1,1,1,1,1,1,1,"700","480","960"
26427,"Chateau Talbot 1983 0,75 l",1,1,1,1,1,1,1,1,1,1,"760","660","1.32"
26428,"Chateau Talbot 1986 1,5 l",1,1,1,1,1,1,1,1,1,1,"660","250","500"
26429,"Chateau Talbot 1986 1,5 l",1,1,1,1,1,1,1,1,1,1,"680","250","500"
26430,"Chateau Talbot 1986 1,5 l",1,1,1,1,1,1,1,1,1,1,"680","250","500"
